id;gender;status_mhs;status_nikah;status_lulus
1;LAKI-LAKI;MAHASISWA;BELUM;TEPAT
2;LAKI-LAKI;BEKERJA;BELUM;TEPAT
3;PEREMPUAN;MAHASISWA;BELUM;TEPAT
4;PEREMPUAN;MAHASISWA;MENIKAH;TEPAT
5;LAKI-LAKI;BEKERJA;MENIKAH;TEPAT
6;LAKI-LAKI;BEKERJA;MENIKAH;TERLAMBAT
7;PEREMPUAN;BEKERJA;MENIKAH;TERLAMBAT
8;PEREMPUAN;BEKERJA;BELUM;TERLAMBAT
9;LAKI-LAKI;BEKERJA;BELUM;TERLAMBAT
10;PEREMPUAN;MAHASISWA;MENIKAH;TERLAMBAT
11;PEREMPUAN;MAHASISWA;BELUM;TERLAMBAT
12;PEREMPUAN;MAHASISWA;BELUM;TEPAT
13;LAKI-LAKI;BEKERJA;MENIKAH;TEPAT
14;LAKI-LAKI;MAHASISWA;MENIKAH;TEPAT
15;LAKI-LAKI;MAHASISWA;BELUM;TEPAT
